Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
77497f60-8ff1-4508-bf74-00944e5c030d,,Oxycodone/Acetaminophen 5mg+325mg,103281AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,5mg+325mg,
e6b91fc3-8961-493e-9acb-5853162ffec7,,Famotidine,76178AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
dd87f758-a49b-44ac-841b-16b61c176244,,Azithromycin,71780AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
7a595a6a-8c0b-4725-addd-ad2d82100b98,,Ceftriaxone 1g,73041AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,160242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1g,
9762b8c0-bdba-49ed-ae32-0290a04e8ab9,,Ondansetron,81073AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
5668deaf-9459-42df-bea8-db378f0d38f6,,Oxycodone,81332AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
988bf012-f48f-4ed2-a6f1-5488505584e6,,Acetaminophen,70116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
dfd36a48-1946-454c-bc04-8dc7cada7120,,Acetaminophen 325 mg,70116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,325mg,
85315e68-f8f1-43e6-b957-ae773bfaf9b7,,Lisinopril,78945AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,
c6f2234a-75ed-4530-bd60-1196fd84d0c6,,Lisinopril 2.5 mg,78945AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2.5mg,
